post_id,title,category,address,tel,lat,lng,score,url
10564,穂高ブルワリー（HOTAKA BREWERY）,醸造所,,,36.3712423,137.8793195,,https://www.beertiful.jp/listing/hotaka-brewery/
10562,AZUMINO BREWERY（安曇野ブルワリー ）,ブルーパブ,,,36.3394381,137.8821894,,https://www.beertiful.jp/listing/azumino-brewery/
10559,北アルプスブルワリー Northern Alps Brewery,ブルーパブ,,,36.5065639,137.8583881,,https://www.beertiful.jp/listing/northern-alps-brewery/
10560,信州東御市振興公社/ＯＨ！ＬＡ！ＨＯ！　ＢＥＥＲ（オラホビール）,醸造所,,,36.3868143,138.3185993,,https://www.beertiful.jp/listing/oh-la-ho-beer/
10549,信州須坂フルーツブルワリー,醸造所,,,36.6331929,138.3435993,,https://www.beertiful.jp/listing/suzaka_fruits-brewery/
10547,TAMTAM（タムタム）ブリューイング,醸造所,,,36.6781603,138.3687386,,https://www.beertiful.jp/listing/tamtam-brewing/
10546,Hakuba Brewing Company（ハクバ ブルーイング カンパニー）,醸造所,,,36.6778302,137.8538395,,https://www.beertiful.jp/listing/hakuba-brewing-company/
10376,津酒類販売（伊勢ポートビール/安濃津物語）,醸造所,,,34.6772596,136.5215271,,https://www.beertiful.jp/listing/tsu-syurui-hanbai/
10437,地酒専門 岸本商店,酒屋,,,37.76083712,138.8857759,,https://www.beertiful.jp/listing/kishimoto-syoten/
10441,Far Yeast Brewing 源流醸造所,醸造所,,,35.75735198,138.9441166,,https://www.beertiful.jp/listing/far-yeast-brewing-genryu/
10451,玉村本店,醸造所,,,36.7325242,138.4320082,,https://www.beertiful.jp/listing/tamamura-honten/
10450,里武士タップルーム（ＡＪＢブルワリー）,ブルーパブ,,,36.923004,138.4480989,,https://www.beertiful.jp/listing/ajb-brewery/
10447,酒の鍵屋（鍵屋酒店）,酒屋,,,39.69946264,141.1552244,,https://www.beertiful.jp/listing/kagiya/
10446,まるはち酒店,酒屋,,,38.11460428,140.0341308,,https://www.beertiful.jp/listing/maruhachi-saketen/
10444,北宇商店,酒屋,,,39.93752202,140.0764132,,https://www.beertiful.jp/listing/kitau-syouten/
10443,Personabrewery（ペルソナブルワリー）,ブルーパブ,,,35.6716561,138.5656509,,https://www.beertiful.jp/listing/personabrewery/
10442,BRIGHT BLUE BREWING（ブライトブルーブルーイング）,ブルーパブ,,,35.4962024,138.8070331,,https://www.beertiful.jp/listing/bright-blue-brewing/
10440,加藤酒店,酒屋,,,40.59929092,140.4589605,,https://www.beertiful.jp/listing/kato-saketen/
10439,池野酒店,酒屋,,,33.26774574,129.6835184,,https://www.beertiful.jp/listing/ikenosaketen/
10253,CRAFT BEER BASE MOTHER TREE（クラフトビアベースマザーツリー）,醸造所,,,34.7049929,135.4879083,,https://www.beertiful.jp/listing/craft-beer-base-mother-tree/
10436,さいとう酒店,酒屋,,,36.86107163,140.0155444,,https://www.beertiful.jp/listing/saitou-saketen/
10428,TSUKIOKA BREWERY（月岡ブルワリー＆キッチンGeppo）,ブルーパブ,,,37.8807859,139.3081078,,https://www.beertiful.jp/listing/tsukioka-brewery/
10427,日本ビール醸造（サムライサーファービール）,醸造所,,,35.0839566,138.8607497,,https://www.beertiful.jp/listing/samuraisurferbeer/
10426,ＤＨＣビール（ディーエイチシービール）,醸造所,,,35.2926166,138.9011693,,https://www.beertiful.jp/listing/dhc-beer/
10425,グラン・テーブル（GRAND TABLE）,ブルーパブ,,,35.2356171,138.9247593,,https://www.beertiful.jp/listing/grand-table/
10423,びあマ 北千住,飲食店,,,35.74908097,139.8040684,,https://www.beertiful.jp/listing/beerma-kitasenju/
10422,原宿タップルーム（Harajuku Taproom ）Baird Beer,飲食店,,,35.6715397,139.7044877,,https://www.beertiful.jp/listing/baird-beer-harajuku/
10420,アンテナ アメリカ 品川店（Antenna America）,飲食店,,,35.6287531,139.7408157,,https://www.beertiful.jp/listing/antenna-america/
10418,タイタンズ クラフトビアタップルーム&ボトルショップ（Titans Craft Beer Taproom & Bottle Shop）,飲食店,,,35.73074554,139.7284314,,https://www.beertiful.jp/listing/titans-craft-beer-taproom-bottle-shop/
10416,ベアードビール 中目黒タップルーム （Baird Beer）,ブルーパブ,,,35.6431863,139.6986787,,https://www.beertiful.jp/listing/baird-beer-nakameguro/
10415,ベアードタップルーム 沼津フィッシュマーケッ（Baird Beer）,ブルーパブ,,,35.084219,138.856422,,https://www.beertiful.jp/listing/baird-beer-numazu/
10413,ベアード　ブルワリーガーデン 修善寺（Baird Beer）,ブルーパブ醸造所,,,34.951675,138.9400624,,https://www.beertiful.jp/listing/baird-beer-shuzenji/
10412,GKB & Village（ジーケービーアンドビレッジ）,ブルーパブ,,,35.012135,138.9417356,,https://www.beertiful.jp/listing/gkb-village/
10411,IZU VILLAGE（いずビレッジ／株式会社時之栖）,醸造所,,,35.012135,138.9417356,,https://www.beertiful.jp/listing/izu-village/
10409,反射炉ビヤ直営レストラン ほむら,ブルーパブ,,,35.0394278,138.9628469,,https://www.beertiful.jp/listing/homura/
10408,酪農王国オラッチェ（酪農王国株式会社）,ブルーパブ,,,35.10343,139.0146965,,https://www.beertiful.jp/listing/oratche/
10407,宇佐美麦酒製造（USAMI BEER）,醸造所,,,35.0161417,139.0664405,,https://www.beertiful.jp/listing/usami-beer/
10406,鶴見酒造,醸造所,,,35.1560586,136.764381,,https://www.beertiful.jp/listing/tsurumi-syuzo/
10386,OKD KOMINKA BREWING（オーケーディーこみんかブルーイング）,醸造所,,,34.9645423,136.8679887,,https://www.beertiful.jp/listing/okd-kominka-brewing/
10388,範丈亭,ブルーパブ,,,34.9645423,136.8679887,,https://www.beertiful.jp/listing/hanjyoutei/
10385,バタフライブルワリー（Butterfly Brewery）,醸造所,,,35.2581309,136.9573439,,https://www.beertiful.jp/listing/butterflybrewery/
10384,大曽根クラフトビール醸造所（ブリューパブ おおぞね）,醸造所,,,35.1903936,136.933079,,https://www.beertiful.jp/listing/ozonebeer/
10383,KARIYA 75 BREWING（カリヤナナゴウブルーイング）,醸造所,,,35.0290619,137.0123552,,https://www.beertiful.jp/listing/kariya-75-brewing/
10382,地ビール工房＆レストラン ホレ･フェスト（HOLAR FEST）,ブルーパブ,,,34.9301851,137.0600981,,https://www.beertiful.jp/listing/holar-fest/
10381,Izakaya Ja Nai!!（いざかや･じゃ･ない）,ブルーパブ,,,34.9531307,137.1650692,,https://www.beertiful.jp/listing/izakaya-ja-nai/
10375,うちゅうブルーイング タップルーム（UCHU BREWING TAPROOM）,飲食店,,,35.87862768,138.3174956,,https://www.beertiful.jp/listing/uchu-brewing-taproom/
